product_id,product_name,category,price,active
68,Digitized exuding service-desk,Books,352.5,1
69,Upgradable secondary hub,Beauty,655.25,1
70,Advanced neutral open architecture,Home & Kitchen,761.64,0
71,Digitized bottom-line analyzer,Fashion,119.5,1
72,Adaptive object-oriented policy,Toys,590.71,1
73,Object-based national neural-net,Electronics,337.65,1
74,Configurable fault-tolerant database,Sports & Outdoors,427.63,0
75,User-friendly user-facing success,Toys,53.38,0
76,Monitored didactic installation,Beauty,133.18,1
77,Stand-alone multimedia circuit,Fashion,285.5,1
78,Diverse contextually-based definition,Toys,443.16,0
80,Customizable contextually-based secured line,Uncategorized,803.34,1
81,Re-contextualized actuating system engine,Fashion,565.87,1
82,Reactive maximized project,Sports & Outdoors,348.27,1
83,Reactive asynchronous frame,Fashion,413.04,1
84,Synchronized asymmetric extranet,Toys,896.53,1
85,Cross-platform dedicated success,Fashion,209.42,1
86,Reduced mobile groupware,Sports & Outdoors,333.09,1
87,Multi-channeled clear-thinking secured line,Electronics,536.55,1
88,Streamlined disintermediate attitude,Fashion,378.0,1
89,Horizontal regional architecture,Sports & Outdoors,627.19,1
90,Ergonomic foreground matrix,Sports & Outdoors,379.84,1
91,Organized full-range pricing structure,Books,707.35,1
92,Switchable fault-tolerant solution,Books,634.57,0
94,Re-contextualized high-level workforce,Home & Kitchen,138.47,1
95,Intuitive interactive concept,Electronics,581.67,1
96,Adaptive foreground encryption,Beauty,732.78,0
97,Face-to-face transitional support,Fashion,665.98,1
98,Stand-alone intermediate focus group,Home & Kitchen,299.14,1
99,Multi-lateral client-driven service-desk,Sports & Outdoors,734.38,0
100,Upgradable full-range matrices,Fashion,622.45,1
101,Persistent local help-desk,Home & Kitchen,123.59,0
102,Vision-oriented fault-tolerant matrix,Toys,820.54,1
103,Reactive bi-directional conglomeration,Fashion,552.16,0
104,Stand-alone real-time artificial intelligence,Sports & Outdoors,828.75,1
105,Grass-roots client-driven monitoring,Books,16.05,1
106,Exclusive empowering superstructure,Books,469.58,0
107,Self-enabling asynchronous superstructure,Electronics,314.44,1
108,Compatible 3rdgeneration middleware,Fashion,580.83,1
109,Self-enabling 4thgeneration paradigm,Books,677.52,0
110,Reduced impactful throughput,Grocery,365.92,1
111,Reverse-engineered didactic alliance,Electronics,771.64,1
112,Reactive empowering moratorium,Sports & Outdoors,366.07,1
113,Quality-focused methodical projection,Books,590.85,0
114,Vision-oriented coherent hierarchy,Beauty,302.11,0
115,Object-based directional throughput,Sports & Outdoors,107.04,1
116,Reverse-engineered upward-trending frame,Toys,633.37,1
117,Devolved maximized middleware,Books,232.58,0
118,Profound background infrastructure,Electronics,742.97,1
119,Multi-lateral motivating access,Fashion,696.06,0
120,Switchable disintermediate workforce,Grocery,8.87,1
